sa3_code,Area_Label,Census_Year,Estimated_Resident_Population,Population_Density_Per_Km2,Estimated resident population - males (no.),Estimated resident population - females (no.),Median_Age_Males,Median_Age_Females,Median_Age_Overall,Males - 85 and over (no.),Females - 85 and over (no.),Number_of_Births,Number_of_Deaths,Standardised_Death_Rate,Overseas_Arrivals,Overseas_Departures,Net_Overseas_Migration,Indigenous_Population,Indigenous_Population_Percent,Born_in_Oceania_Excluding_Australia_Percent,Born_in_North_West_Europe_Percent,Born_in_Southern_Eastern_Europe_Percent,Born_in_North_Africa_Middle_East_Percent,Born_in_South_East_Asia_Percent,Born_in_North_East_Asia_Percent,Born_in_Southern_Central_Asia_Percent,Born_in_Americas_Percent,Born_in_Sub_Saharan_Africa_Percent,Total_Born_Overseas,Total_Born_Overseas_Percent,Number_of_Australian_Citizens,Number_of_Non_Australian_Citizens,Australian_Citizenship_Not_Stated,Australian_Citizen_Percent,Non_Australian_Citizen_Percent,Australian_Citizenship_Not_Stated_Percent,Speaks_Other_Language_At_Home,Speaks_Other_Language_At_Home_Percent,Males_Under_14,Females_Under_14,Males_15_to_24,Females_15_to_24,Males_25_to_34,Females_25_to_34,Males_35_to_44,Females_35_to_44,Males_45_to_54,Females_45_to_54,Males_55_to_64,Females_55_to_64,Males_65_to_74,Females_65_to_74,Males_75_to_84,Females_75_to_84,Males_85_and_over,Females_85_and_over
10180,Armidale Regional,2021,29332.00,3.80,14228.00,15104.00,36.40,37.60,37.00,251.00,434.00,315.00,224.00,5.50,182.00,199.00,-17.00,2205.00,7.60,1.50,3.30,0.40,2.50,1.30,0.90,2.80,1.10,1.00,4321.00,14.80,23798.00,2563.00,2758.00,81.70,8.80,9.50,2999.00,10.30,2710.0,2671.0,2275.0,2465.0,1885.0,1949.0,1588.0,1608.0,1540.0,1682.0,1770.0,1808.0,1368.0,1448.0,841.0,1039.0,251.00,434.00
10180,Armidale Regional,2022,29317.00,3.80,,,,,,,,,,,456.00,218.00,238.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina,2011,,,,,,,,,,,,,,,,1223.00,3.10,,,,,,,,,,,,36019.00,1372.00,1880.00,91.70,3.50,4.80,1286.00,3.30,,,,,,,,,,,,,,,,,,
10250,Ballina,2016,,,,,,,,,,374.00,505.00,5.70,,,,1372.00,3.30,1.90,5.30,0.60,0.10,0.80,0.40,0.30,0.80,0.70,4593.00,11.00,37328.00,1503.00,2958.00,89.30,3.60,7.10,1575.00,3.80,,,,,,,,,,,,,,,,,,
10250,Ballina,2017,43626.00,90.00,21124.00,22502.00,45.50,48.10,46.80,642.00,1098.00,382.00,433.00,5.40,347.00,130.00,217.00,,,,,,,,,,,,,,,,,,,,,,3881.0,3515.0,2243.0,2106.0,1993.0,2135.0,2305.0,2535.0,2744.0,3050.0,3050.0,3411.0,2780.0,2868.0,1486.0,1784.0,642.00,1098.00
10250,Ballina,2018,44333.00,91.40,21514.00,22819.00,45.50,48.10,46.90,655.00,1092.00,443.00,473.00,5.50,334.00,144.00,190.00,,,,,,,,,,,,,,,,,,,,,,3912.0,3540.0,2293.0,2173.0,2044.0,2187.0,2370.0,2563.0,2759.0,3009.0,3061.0,3431.0,2893.0,3002.0,1527.0,1822.0,655.00,1092.00
10250,Ballina,2019,44927.00,92.60,21817.00,23110.00,45.60,48.20,47.00,653.00,1098.00,422.00,466.00,5.10,339.00,159.00,180.00,,,,,,,,,,,,,,,,,,,,,,3920.0,3579.0,2341.0,2169.0,2089.0,2223.0,2408.0,2622.0,2738.0,2987.0,3082.0,3437.0,2996.0,3110.0,1590.0,1885.0,653.00,1098.00
10250,Ballina,2020,45569.00,94.00,22142.00,23427.00,45.90,48.60,47.30,656.00,1106.00,374.00,458.00,5.20,302.00,180.00,122.00,,,,,,,,,,,,,,,,,,,,,,3967.0,3595.0,2329.0,2120.0,2096.0,2270.0,2458.0,2666.0,2754.0,3001.0,3121.0,3424.0,3065.0,3257.0,1696.0,1988.0,656.00,1106.00
10250,Ballina,2021,46172.00,95.20,22464.00,23708.00,46.20,49.00,47.70,669.00,1111.00,485.00,478.00,5.00,126.00,108.00,18.00,1804.00,3.90,2.00,5.70,0.60,0.20,1.10,0.40,0.60,1.30,0.80,5871.00,12.70,41882.00,2148.00,2265.00,90.50,4.60,4.90,2193.00,4.70,4031.0,3608.0,2290.0,2056.0,2065.0,2286.0,2557.0,2705.0,2810.0,3062.0,3102.0,3385.0,3147.0,3429.0,1793.0,2066.0,669.00,1111.00
10250,Ballina,2022,46760.00,96.40,,,,,,,,,,,367.00,175.00,192.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
