State_and_territory,SA3_name,Year,Participation_Per
Vic,Monash,2015,40.5
Vic,Brimbank,2015,36.3
Vic,Hobsons Bay,2015,38.9
Vic,Maribyrnong,2015,37
Vic,Melton - Bacchus Marsh,2015,35.6
Vic,Wyndham,2015,34.7
Vic,Frankston,2015,35.8
Vic,Mornington Peninsula,2015,42.3
Vic,Grampians,2015,43
Vic,Mildura,2015,39.7
Vic,Murray River - Swan Hill,2015,40.8
Vic,Campaspe,2015,42.4
Vic,Moira,2015,40.8
Vic,Shepparton,2015,41.5
Vic,Glenelg - Southern Grampians,2015,43.7
Vic,Warrnambool - Otway Ranges,2015,42
Qld,Capalaba,2015,38
Qld,Cleveland - Stradbroke,2015,39
Qld,Wynnum - Manly,2015,37.4
Qld,Bald Hills - Everton Park,2015,41.7
Qld,Chermside,2015,37.8
Qld,Nundah,2015,37.1
Qld,Sandgate,2015,39.5
Qld,Carindale,2015,37.9
Qld,Holland Park - Yeronga,2015,36
Qld,Mt Gravatt,2015,38.3
Qld,Nathan,2015,38.4
Qld,Rocklea - Acacia Ridge,2015,35.1
Qld,Sunnybank,2015,37.7
Qld,Centenary,2015,40.7
Qld,Kenmore - Brookfield - Moggill,2015,40.4
Qld,Sherwood - Indooroopilly,2015,41.7
Qld,The Gap - Enoggera,2015,42
Qld,Brisbane Inner,2015,35.3
Qld,Brisbane Inner - East,2015,35.7
Qld,Brisbane Inner - North,2015,35.4
Qld,Brisbane Inner - West,2015,38.3
Qld,Cairns - North,2015,39.6
Qld,Cairns - South,2015,36.5
Qld,Innisfail - Cassowary Coast,2015,40.8
Qld,Port Douglas - Daintree,2015,36.2
Qld,Tablelands (East) - Kuranda,2015,40.9
Qld,Darling Downs (West) - Maranoa,2015,36.8
Qld,Darling Downs - East,2015,40.1
Qld,Granite Belt,2015,39.6
Qld,Central Highlands (Qld),2015,33.6
Qld,Gladstone - Biloela,2015,36.9
Qld,Rockhampton,2015,39.9
Qld,Broadbeach - Burleigh,2015,37.6
Qld,Coolangatta,2015,37.5
Qld,Gold Coast - North,2015,36.6
Qld,Gold Coast Hinterland,2015,37.8
Qld,Mudgeeraba - Tallebudgera,2015,36.1
Qld,Nerang,2015,36.1
Qld,Ormeau - Oxenford,2015,35.3
Qld,Robina,2015,35.9
Qld,Southport,2015,34.8
Qld,Surfers Paradise,2015,34.7
Qld,Forest Lake - Oxley,2015,35
Qld,Ipswich Hinterland,2015,38.1
Qld,Ipswich Inner,2015,33.6
Qld,Springfield - Redbank,2015,31.6
Qld,Beaudesert,2015,36.7
Qld,Beenleigh,2015,33.7
Qld,Browns Plains,2015,31.7
Qld,Jimboomba,2015,34.2
Qld,Loganlea - Carbrook,2015,35.2
Qld,Springwood - Kingston,2015,32.5
Qld,Bowen Basin - North,2015,37.5
Qld,Mackay,2015,42.1
Qld,Whitsunday,2015,40
Qld,Bribie - Beachmere,2015,43.4
Qld,Caboolture,2015,35.1
Qld,Caboolture Hinterland,2015,41.3
Qld,Narangba - Burpengary,2015,38.8
Qld,Redcliffe,2015,39.4
Qld,Hills District,2015,42.2
Qld,North Lakes,2015,38.6
Qld,Strathpine,2015,39.4
Qld,Far North,2015,23.3
Qld,Outback - North,2015,23.7
Qld,Outback - South,2015,37.3
Qld,Buderim,2015,41.8
Qld,Caloundra,2015,42.8
Qld,Maroochy,2015,40.7
Qld,Nambour - Pomona,2015,41.7
Qld,Noosa,2015,41.1
Qld,Sunshine Coast Hinterland,2015,41.4
Qld,Toowoomba,2015,39.7
