State/territory,Sex,Age group,Year,Participated,Invited,Participation (%)
Qld,Females,70-74,2020-2021,49421,96154,51.4
Qld,Females,50-74,2020-2021,236546,599643,39.4
Qld,Persons,50-54,2020-2021,101521,363950,27.9
Qld,Persons,55-59,2020-2021,70682,217226,32.5
Qld,Persons,60-64,2020-2021,108190,275629,39.3
Qld,Persons,65-69,2020-2021,74390,156268,47.6
Qld,Persons,70-74,2020-2021,98044,194526,50.4
Qld,Persons,50-74,2020-2021,452827,1207599,37.5
WA,Males,50-54,2020-2021,29450,98292,30
WA,Males,55-59,2020-2021,20289,58960,34.4
WA,Males,60-64,2020-2021,29310,71195,41.2
WA,Males,65-69,2020-2021,20079,40375,49.7
WA,Males,70-74,2020-2021,25856,48472,53.3
WA,Males,50-74,2020-2021,124984,317294,39.4
WA,Females,50-54,2020-2021,32220,96369,33.4
WA,Females,55-59,2020-2021,22221,56493,39.3
WA,Females,60-64,2020-2021,33311,71225,46.8
WA,Females,65-69,2020-2021,22212,41024,54.1
WA,Females,70-74,2020-2021,26591,48459,54.9
WA,Females,50-74,2020-2021,136555,313570,43.5
WA,Persons,50-54,2020-2021,61670,194661,31.7
WA,Persons,55-59,2020-2021,42510,115453,36.8
WA,Persons,60-64,2020-2021,62621,142420,44
WA,Persons,65-69,2020-2021,42291,81399,52
WA,Persons,70-74,2020-2021,52447,96931,54.1
WA,Persons,50-74,2020-2021,261539,630864,41.5
SA,Males,50-54,2020-2021,19959,64572,30.9
SA,Males,55-59,2020-2021,14490,40237,36
SA,Males,60-64,2020-2021,22443,52453,42.8
SA,Males,65-69,2020-2021,15822,30067,52.6
SA,Males,70-74,2020-2021,21475,38000,56.5
SA,Males,50-74,2020-2021,94189,225329,41.8
SA,Females,50-54,2020-2021,22710,62599,36.3
SA,Females,55-59,2020-2021,16303,39026,41.8
SA,Females,60-64,2020-2021,26174,52925,49.5
SA,Females,65-69,2020-2021,17741,30776,57.6
SA,Females,70-74,2020-2021,22735,39300,57.8
SA,Females,50-74,2020-2021,105663,224626,47
SA,Persons,50-54,2020-2021,42669,127171,33.6
SA,Persons,55-59,2020-2021,30793,79263,38.8
SA,Persons,60-64,2020-2021,48617,105378,46.1
SA,Persons,65-69,2020-2021,33563,60843,55.2
SA,Persons,70-74,2020-2021,44210,77300,57.2
SA,Persons,50-74,2020-2021,199852,449955,44.4
Tas,Males,50-54,2020-2021,5945,19451,30.6
Tas,Males,55-59,2020-2021,4436,12880,34.4
Tas,Males,60-64,2020-2021,7779,17957,43.3
Tas,Males,65-69,2020-2021,5419,10438,51.9
Tas,Males,70-74,2020-2021,7527,13400,56.2
Tas,Males,50-74,2020-2021,31106,74126,42
Tas,Females,50-54,2020-2021,6904,19931,34.6
Tas,Females,55-59,2020-2021,5399,13072,41.3
Tas,Females,60-64,2020-2021,8992,18245,49.3
Tas,Females,65-69,2020-2021,6223,10738,58
Tas,Females,70-74,2020-2021,7843,13509,58.1
Tas,Females,50-74,2020-2021,35361,75495,46.8
Tas,Persons,50-54,2020-2021,12849,39382,32.6
Tas,Persons,55-59,2020-2021,9835,25952,37.9
Tas,Persons,60-64,2020-2021,16771,36202,46.3
Tas,Persons,65-69,2020-2021,11642,21176,55
Tas,Persons,70-74,2020-2021,15370,26909,57.1
Tas,Persons,50-74,2020-2021,66467,149621,44.4
ACT,Males,50-54,2020-2021,5189,15243,34
