State/territory,Sex,Age group,Year,Participated,Invited,Participation (%)
Australia,Females,50-54,2020-2021,301763,906241,33.3
Australia,Females,55-59,2020-2021,208915,537984,38.8
Australia,Females,60-64,2020-2021,320013,703528,45.5
Australia,Females,65-69,2020-2021,211997,403802,52.5
Australia,Females,70-74,2020-2021,263213,498083,52.8
Australia,Females,50-74,2020-2021,1305901,3049638,42.8
Australia,Persons,50-54,2020-2021,573453,1813404,31.6
Australia,Persons,55-59,2020-2021,395469,1086007,36.4
Australia,Persons,60-64,2020-2021,602581,1402340,43
Australia,Persons,65-69,2020-2021,402605,799633,50.3
Australia,Persons,70-74,2020-2021,516157,989595,52.2
Australia,Persons,50-74,2020-2021,2490265,6090979,40.9
