Year,Month,Sex,Status,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,Australia
2020,December,Females,Invited,18766,15479,8314,5199,4516,1442,1075,124,54915
2021,January,Females,Invited,18475,16277,8339,4992,4509,1616,977,92,55277
2021,February,Females,Invited,35744,26675,14556,3701,7193,2798,1721,91,92479
2021,March,Females,Invited,69013,49531,37295,12876,14417,5213,3123,130,191598
2021,April,Females,Invited,68351,53305,42418,22243,15695,5339,3024,729,211104
2021,May,Females,Invited,37907,28141,25734,14491,8594,2774,1611,1516,120768
2021,June,Females,Invited,68018,52694,47970,27346,15052,4445,2957,7194,225677
2021,July,Females,Invited,51889,39312,39572,23492,12015,3956,2498,951,173685
2021,August,Females,Invited,39599,28699,27828,14206,8995,2803,2090,356,124577
2021,September,Females,Invited,39420,27776,27492,12834,9032,2819,2033,324,121732
2021,October,Females,Invited,46354,31190,26024,14905,11302,3028,2574,65,135443
2021,November,Females,Invited,48643,38970,26036,16900,12228,3238,3154,125,149294
2021,December,Females,Invited,13740,11908,6625,3831,3275,975,824,25,41203
2022,January,Females,Invited,21684,16838,6973,1840,5207,1513,1297,43,55397
2022,February,Females,Invited,23679,18997,11387,2415,4264,1725,1187,20,63676
2022,March,Females,Invited,33092,25534,17563,10547,6478,2197,1226,63,96702
2022,April,Females,Invited,48821,28335,26027,11830,8039,3082,1950,231,128318
2022,May,Females,Invited,58706,56779,37057,20140,13269,4706,2522,3653,196833
2022,June,Females,Invited,42934,34580,24833,13112,10082,3566,2025,895,132032
2022,July,Females,Invited,51092,40608,34048,17865,11789,4015,2433,818,162674
2022,August,Females,Invited,48547,36747,37061,17366,11696,3752,2418,774,158366
2022,September,Females,Invited,38228,27339,28883,16063,8467,2787,1802,312,123883
2022,October,Females,Invited,44373,34181,28966,16306,9484,3359,2048,127,138847
2022,November,Females,Invited,40718,37202,22608,15101,9399,3168,2088,139,130425
2022,December,Females,Invited,22982,20399,12108,8880,5358,1728,1244,65,72766
2023,January,Females,Invited,67413,58686,23679,6564,16620,6142,3812,226,183143
2023,February,Females,Invited,40383,30709,26570,6522,8566,3289,2029,102,118172
2023,March,Females,Invited,45655,31559,28167,15707,9682,3057,1867,65,135761
2014,January,Persons,Invited,28743,21492,13891,4087,6371,2243,1436,.,78263
2014,February,Persons,Invited,39410,29526,20343,6630,8729,3006,1986,.,109630
2014,March,Persons,Invited,56828,40201,32525,16188,12939,4009,2768,168,165626
2014,April,Persons,Invited,48739,32745,29682,12455,10761,3174,2387,1194,141137
2014,May,Persons,Invited,44893,30237,28858,14170,9763,2960,2200,3817,136898
2014,June,Persons,Invited,51675,38108,35251,20113,11852,3672,2512,4752,167935
2014,July,Persons,Invited,36434,27352,24236,12847,8614,2611,1682,911,114687
2014,August,Persons,Invited,40264,29751,26053,13631,9107,2898,1695,231,123630
2014,September,Persons,Invited,30642,23490,19782,8403,8424,2587,1469,94,94891
2014,October,Persons,Invited,29114,23457,16607,7184,9203,2813,1441,13,89832
2014,November,Persons,Invited,34861,32310,18654,13436,8059,3400,1707,4,112431
2014,December,Persons,Invited,6928,7092,3238,2887,1624,770,354,.,22893
2015,January,Persons,Invited,35199,26565,17166,5128,7883,2750,1821,.,96512
2015,February,Persons,Invited,45492,34016,23644,7668,10076,3471,2194,.,126561
2015,March,Persons,Invited,53491,38888,31045,15209,12454,3863,2551,165,157666
2015,April,Persons,Invited,37998,29488,24448,11124,8868,2811,1682,3187,119606
2015,May,Persons,Invited,46943,35412,31915,17105,10773,3416,2163,4591,152318
2015,June,Persons,Invited,37350,28393,25880,14115,8631,2703,1681,1500,120253
2015,July,Persons,Invited,38031,28952,25022,13402,8540,2754,1749,920,119370
2015,August,Persons,Invited,8944,7336,6465,3364,2122,700,371,489,29791
2015,September,Persons,Invited,36681,28089,24824,12930,8517,2859,1724,248,115872
2015,October,Persons,Invited,43834,31636,29440,12932,12558,3679,2542,.,136621
2015,November,Persons,Invited,55748,42001,28967,17525,14717,4524,2998,.,166480
2015,December,Persons,Invited,23038,17406,9191,6978,4172,1840,904,.,63529
2016,January,Persons,Invited,56108,44342,29311,8270,13177,4615,2817,.,158640
2016,February,Persons,Invited,57510,39834,26682,8992,11454,2834,2433,3,149742
2016,March,Persons,Invited,56036,37708,29712,12714,10293,2798,2168,885,152314
2016,April,Persons,Invited,46012,37445,32602,13849,10447,3020,2265,3714,149354
2016,May,Persons,Invited,57744,42747,40900,18775,12995,3644,2890,5242,184937
2016,June,Persons,Invited,46464,34365,32695,15119,10626,2797,2281,1400,145747
2016,July,Persons,Invited,59868,45158,41692,19179,14317,3867,2692,1325,188098
2016,August,Persons,Invited,56650,40798,33675,18623,12375,3943,2550,558,169172
2016,September,Persons,Invited,50477,41149,33099,16991,13483,4235,2333,133,161900
2016,October,Persons,Invited,61495,52898,38846,25812,15067,6229,2932,1,203280
2016,November,Persons,Invited,45275,37585,22711,23202,10999,5343,2225,.,147340
2016,December,Persons,Invited,32366,27647,15606,18506,7752,4190,1665,.,107732
2017,January,Persons,Invited,63916,49044,31702,9002,14419,5057,3237,.,176377
2017,February,Persons,Invited,62561,46304,33054,13211,14157,4771,2990,2,177050
2017,March,Persons,Invited,60806,43174,35306,16558,14057,4294,2848,230,177273
2017,April,Persons,Invited,75030,50469,43034,19517,16536,4883,3618,5753,218840
2017,May,Persons,Invited,56960,39208,38258,19715,12431,3776,2655,5214,178217
2017,June,Persons,Invited,55744,40367,38665,20194,12715,3905,2637,2257,176484
2017,July,Persons,Invited,73507,53685,48723,24975,16899,5112,3490,1928,228319
2017,August,Persons,Invited,69173,50089,44292,23552,16160,4504,2874,746,211390
2017,September,Persons,Invited,68306,48792,43651,23511,16191,5204,2833,178,208666
2017,October,Persons,Invited,83105,64469,48731,28117,21154,6726,3563,2,255867
2017,November,Persons,Invited,52663,47084,25147,17980,13717,3926,2505,4,163026
2017,December,Persons,Invited,43496,40932,21009,16914,13151,3798,2563,1,141864
2018,January,Persons,Invited,72881,62715,30830,11945,19871,6266,3308,1,207817
2018,February,Persons,Invited,89367,77626,34132,14316,17754,7700,3759,2,244656
2018,March,Persons,Invited,84138,65642,32817,14401,14850,7621,3616,1,223086
2018,April,Persons,Invited,87083,72617,76736,37080,20947,6852,5009,6791,313115
2018,May,Persons,Invited,69159,53176,66055,32249,16980,4962,4128,7241,253950
2018,June,Persons,Invited,69188,50052,67290,32675,16561,5088,3453,3579,247886
2018,July,Persons,Invited,87363,63498,68601,38580,20311,6510,3942,2023,290828
2018,August,Persons,Invited,77683,51914,45699,30871,15751,5111,3180,1086,231295
2018,September,Persons,Invited,92360,66355,53679,26689,19983,6640,4123,324,270153
2018,October,Persons,Invited,71158,57367,39387,21641,16870,5580,3370,14,215387
2018,November,Persons,Invited,66609,53327,37728,21564,15542,5449,3241,2323,205783
2018,December,Persons,Invited,58086,47283,36160,18826,14834,4812,2692,4198,186891
2019,January,Persons,Invited,80109,69580,40569,15204,19777,6992,3208,926,236365
2019,February,Persons,Invited,88659,70575,40115,13510,20563,7025,3558,2,244007
2019,March,Persons,Invited,109374,79632,56862,25366,23489,8051,4614,625,308013
2019,April,Persons,Invited,73152,62007,57451,31128,18450,5993,3749,4879,256809
2019,May,Persons,Invited,76049,59175,64226,34857,18218,5722,3677,4713,266637
2019,June,Persons,Invited,91333,67205,82944,46198,21972,6998,4421,2836,323907
2019,July,Persons,Invited,81537,57653,57533,37631,17808,5662,4188,1798,263810
2019,August,Persons,Invited,90222,63189,56115,28682,20392,6028,5285,1363,271276
2019,September,Persons,Invited,123235,80213,70707,35239,31238,7489,7600,253,355974
2019,October,Persons,Invited,50846,34681,26905,14261,12694,3031,2696,8,145122
2019,November,Persons,Invited,51063,36360,26456,14531,12795,3023,3203,69,147500
2019,December,Persons,Invited,39987,33288,19667,9879,10573,2523,2597,81,118595
2020,January,Persons,Invited,12372,6273,4069,3091,1861,476,553,43,28738
2020,February,Persons,Invited,122456,97019,39875,11850,23790,9119,4888,447,309444
2020,March,Persons,Invited,152344,114589,72731,23176,31247,11645,7270,699,413701
2020,April,Persons,Invited,156343,121631,76229,41044,31645,11904,6584,706,446086
2020,May,Persons,Invited,161438,128796,101097,58255,34263,11681,7977,2643,506150
2020,June,Persons,Invited,81286,61870,67277,37810,18008,5663,3854,21691,297459
2020,July,Persons,Invited,49913,36093,42352,24069,11015,3873,2381,2787,172483
2020,August,Persons,Invited,64922,45651,56099,35251,14886,4954,3168,2638,227569
2020,September,Persons,Invited,141949,104731,113123,54315,31633,10282,6667,2209,464909
2020,October,Persons,Invited,52504,43830,31737,19359,12874,4304,2771,200,167579
2020,November,Persons,Invited,61874,51071,34221,23145,14095,4582,3389,236,192613
2020,December,Persons,Invited,36435,30026,16436,10045,8795,2937,2098,211,106983
2021,January,Persons,Invited,36627,32472,16911,16468,9135,3082,1922,177,116794
2021,February,Persons,Invited,74854,55732,30988,9170,15126,5743,3609,200,195422
2021,March,Persons,Invited,136963,99585,73756,25239,28912,10370,6079,305,381210
2021,April,Persons,Invited,142263,110907,89278,46276,32752,10937,6246,1588,440247
2021,May,Persons,Invited,77965,58212,53197,30588,17763,5630,3314,3176,249846
2021,June,Persons,Invited,138499,108961,99867,57836,31340,9137,6060,15332,467036
2021,July,Persons,Invited,108762,82375,82789,49345,25274,8097,5146,2028,363818
2021,August,Persons,Invited,82959,59980,58289,29672,18597,5732,4333,844,260407
2021,September,Persons,Invited,82599,58610,57568,27285,18813,5939,4133,641,255591
2021,October,Persons,Invited,91808,60714,52143,29951,22020,5807,5009,110,267567
2021,November,Persons,Invited,75895,60199,40713,26540,19869,5117,5116,183,233633
2021,December,Persons,Invited,25476,22273,12244,7076,6381,1801,1599,54,76904
2022,January,Persons,Invited,43657,33898,14247,3792,10477,3082,2595,102,111854
2022,February,Persons,Invited,51663,42320,24785,5737,9682,3822,2455,74,140540
2022,March,Persons,Invited,84149,66697,42596,23936,16788,5960,3242,186,243556
2022,April,Persons,Invited,96634,64965,51217,23397,17698,6462,3952,479,264809
2022,May,Persons,Invited,105698,93491,68768,36255,22922,8014,4438,7326,346915
2022,June,Persons,Invited,86999,68695,49976,25957,20015,6967,4055,1725,264404
2022,July,Persons,Invited,95493,73910,62682,34480,21537,7296,4463,1650,301520
2022,August,Persons,Invited,95434,71621,74418,34681,22778,7169,4641,1629,312383
2022,September,Persons,Invited,76634,53797,58833,32295,17224,5561,3545,671,248570
2022,October,Persons,Invited,87834,67202,58431,32361,18946,6552,4015,278,275628
2022,November,Persons,Invited,75420,68846,41897,27740,17342,5746,3797,250,241041
2022,December,Persons,Invited,47164,41359,25162,18153,11270,3610,2624,148,149493
2023,January,Persons,Invited,128323,111607,45442,12919,31702,11639,7264,444,349344
2023,February,Persons,Invited,80476,60632,51694,12781,16977,6411,3949,210,233136
2023,March,Persons,Invited,87911,61550,54933,30353,18827,5949,3598,147,263270
