State/territory,SA3 code,SA3 name,Participated,Invited,Participation (%),Year
NSW,10501,Bourke - Cobar - Coonamble,"1,642","6,238",26.3,2020-2021
NSW,10502,Broken Hill and Far West,"1,786","5,480",32.6,2020-2021
NSW,10503,Dubbo,"6,328","18,175",34.8,2020-2021
NSW,10601,Lower Hunter,"9,242","23,154",39.9,2020-2021
NSW,10602,Maitland,"7,914","18,686",42.4,2020-2021
NSW,10603,Port Stephens,"10,244","22,282",46,2020-2021
NSW,10604,Upper Hunter,"2,792","7,561",36.9,2020-2021
NSW,10701,Dapto - Port Kembla,"7,737","19,863",39,2020-2021
NSW,10702,Illawarra Catchment Reserve,n.p.,n.p.,n.p.,2020-2021
NSW,10703,Kiama - Shellharbour,"10,999","25,050",43.9,2020-2021
NSW,10704,Wollongong,"13,875","31,809",43.6,2020-2021
NSW,10801,Great Lakes,"5,173","11,269",45.9,2020-2021
NSW,10802,Kempsey - Nambucca,"6,518","16,634",39.2,2020-2021
NSW,10803,Lord Howe Island,56,129,43.4,2020-2021
NSW,10804,Port Macquarie,"10,575","24,527",43.1,2020-2021
NSW,10805,Taree - Gloucester,"8,215","18,423",44.6,2020-2021
NSW,10901,Albury,"7,320","16,477",44.4,2020-2021
NSW,10902,Lower Murray,"1,341","3,296",40.7,2020-2021
NSW,10903,Upper Murray exc. Albury,"5,585","12,480",44.8,2020-2021
NSW,11001,Armidale,"4,348","10,090",43.1,2020-2021
NSW,11002,Inverell - Tenterfield,"4,290","11,281",38,2020-2021
NSW,11003,Moree - Narrabri,"1,762","6,002",29.3,2020-2021
NSW,11004,Tamworth - Gunnedah,"7,988","21,042",38,2020-2021
NSW,11101,Lake Macquarie - East,"15,099","32,757",46.1,2020-2021
NSW,11102,Lake Macquarie - West,"9,537","21,881",43.6,2020-2021
NSW,11103,Newcastle,"17,688","40,983",43.2,2020-2021
NSW,11201,Richmond Valley - Coastal,"10,780","25,868",41.7,2020-2021
NSW,11202,Richmond Valley - Hinterland,"8,333","22,108",37.7,2020-2021
NSW,11203,Tweed Valley,"10,762","27,269",39.5,2020-2021
NSW,11301,Griffith - Murrumbidgee (West),"4,295","12,127",35.4,2020-2021
NSW,11302,Tumut - Tumbarumba,"1,718","4,120",41.7,2020-2021
NSW,11303,Wagga Wagga,"9,228","22,781",40.5,2020-2021
NSW,11401,Shoalhaven,"14,284","31,783",44.9,2020-2021
NSW,11402,Southern Highlands,"6,579","14,941",44,2020-2021
NSW,11501,Baulkham Hills,"16,937","39,890",42.5,2020-2021
NSW,11502,Dural - Wisemans Ferry,"3,071","7,457",41.2,2020-2021
NSW,11503,Hawkesbury,"2,768","6,659",41.6,2020-2021
NSW,11504,Rouse Hill - McGraths Hill,"3,944","9,751",40.5,2020-2021
NSW,11601,Blacktown,"11,073","32,316",34.3,2020-2021
NSW,11602,Blacktown - North,"7,721","21,513",35.9,2020-2021
NSW,11603,Mount Druitt,"7,691","26,351",29.2,2020-2021
NSW,11701,Botany,"3,917","11,240",34.9,2020-2021
NSW,11702,Marrickville - Sydenham - Petersham,"4,817","12,851",37.5,2020-2021
NSW,11703,Sydney Inner City,"15,363","45,739",33.6,2020-2021
NSW,11801,Eastern Suburbs - North,"10,118","30,061",33.7,2020-2021
NSW,11802,Eastern Suburbs - South,"11,413","30,905",36.9,2020-2021
NSW,11901,Bankstown,"15,244","43,452",35.1,2020-2021
NSW,11902,Canterbury,"10,823","33,020",32.8,2020-2021
NSW,11903,Hurstville,"12,787","33,138",38.6,2020-2021
NSW,11904,Kogarah - Rockdale,"11,720","33,149",35.4,2020-2021
NSW,12001,Canada Bay,"8,120","20,232",40.1,2020-2021
NSW,12002,Leichhardt,"6,221","14,898",41.8,2020-2021
NSW,12003,Strathfield - Burwood - Ashfield,"13,211","35,804",36.9,2020-2021
NSW,12101,Chatswood - Lane Cove,"11,760","28,416",41.4,2020-2021
NSW,12102,Hornsby,"8,798","20,748",42.4,2020-2021
NSW,12103,Ku-ring-gai,"14,453","33,347",43.3,2020-2021
NSW,12104,North Sydney - Mosman,"10,674","25,876",41.3,2020-2021
NSW,12201,Manly,"5,232","11,420",45.8,2020-2021
NSW,12202,Pittwater,"8,492","18,375",46.2,2020-2021
NSW,12203,Warringah,"17,741","39,548",44.9,2020-2021
NSW,12301,Camden,"5,803","14,564",39.8,2020-2021
